Match ID,Team 1,Team 2,Venue,City,Season,Toss Winner,Toss Decision,Match Winner
1426261,Sunrisers Hyderabad,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024,Punjab Kings,field,Sunrisers Hyderabad
1359507,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2023,Kolkata Knight Riders,field,Chennai Super Kings
392217,Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Kimberley,2009,Rajasthan Royals,bat,Chennai Super Kings
1254112,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,2021,Delhi Capitals,field,Delhi Capitals
829817,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2015,Mumbai Indians,bat,Mumbai Indians
336022,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,2007/08,Delhi Daredevils,bat,Kings XI Punjab
501258,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Indore,2011,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
548372,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2012,Delhi Daredevils,field,Royal Challengers Bangalore
1175358,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,2019,Mumbai Indians,field,Delhi Capitals
1304086,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022,Gujarat Titans,field,Gujarat Titans
980919,Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016,Rising Pune Supergiants,bat,Kings XI Punjab
1304069,Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Pune,2022,Mumbai Indians,field,Punjab Kings
335989,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2007/08,Mumbai Indians,field,Chennai Super Kings
729297,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,,2014,Rajasthan Royals,field,Chennai Super Kings
1473446,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025,Mumbai Indians,field,Gujarat Titans
392186,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Durban,2009,Kolkata Knight Riders,field,Kolkata Knight Riders
548325,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,2012,Delhi Daredevils,field,Delhi Daredevils
1473503,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025,Royal Challengers Bengaluru,field,Sunrisers Hyderabad
1304090,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022,Mumbai Indians,field,Mumbai Indians
729281,Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,,2014,Royal Challengers Bangalore,field,Royal Challengers Bangalore
392190,Kolkata Knight Riders,Rajasthan Royals,Newlands,Cape Town,2009,Kolkata Knight Riders,field,No Result
1473450,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025,Punjab Kings,field,Punjab Kings
501219,Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Kolkata,2011,Kolkata Knight Riders,field,Kochi Tuskers Kerala
829769,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,2015,Rajasthan Royals,field,Mumbai Indians
548333,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Delhi,2012,Delhi Daredevils,field,Pune Warriors
392201,Deccan Chargers,Delhi Daredevils,SuperSport Park,Centurion,2009,Delhi Daredevils,field,Delhi Daredevils
1359511,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023,Rajasthan Royals,bat,Rajasthan Royals
1426277,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024,Lucknow Super Giants,field,Lucknow Super Giants
829801,Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,2015,Chennai Super Kings,bat,Delhi Daredevils
1426298,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata,2024,Mumbai Indians,field,Kolkata Knight Riders
1254104,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Dubai,2021,Chennai Super Kings,bat,Chennai Super Kings
336034,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,2007/08,Deccan Chargers,field,Royal Challengers Bangalore
548364,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,2012,Chennai Super Kings,field,Chennai Super Kings
980923,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1304053,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,2022,Lucknow Super Giants,field,Lucknow Super Giants
1529274,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2026,Delhi Capitals,field,Sunrisers Hyderabad
1178415,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,2019,Delhi Capitals,field,Delhi Capitals
