Batter,Runs,Balls Faced,Fours,Sixes,Strike Rate
TM Head,1556,915,172,78,170.05
Abhishek Sharma,2379,1389,224,144,171.27
AK Markram,1671,1234,131,68,135.41
Nithish Kumar Reddy,787,541,50,46,145.47
RA Tripathi,2291,1662,229,85,137.85
H Klaasen,2104,1262,146,120,166.72
Abdul Samad,859,578,55,55,148.62
Shahbaz Ahmed,603,489,33,28,123.31
PJ Cummins,642,421,40,44,152.49
B Kumar,354,377,34,4,93.9
JD Unadkat,201,169,16,7,118.93
S Dhawan,6769,5326,768,153,127.09
JM Bairstow,1674,1146,173,74,146.07
P Simran Singh,1865,1189,196,94,156.85
SM Curran,997,731,85,41,136.39
Sikandar Raza,182,136,12,8,133.82
Shashank Singh,905,560,67,51,161.61
JM Sharma,1107,726,86,68,152.48
Ashutosh Sharma,564,334,39,40,168.86
RD Gaikwad,2839,2093,260,107,135.64
DP Conway,1080,773,117,34,139.72
AM Rahane,5367,4273,540,141,125.6
S Dube,2129,1464,132,137,145.42
RA Jadeja,3526,2699,264,122,130.64
MS Dhoni,5439,3957,375,264,137.45
N Jagadeesan,162,147,21,2,110.2
SP Narine,1820,1101,191,120,165.3
VR Iyer,1677,1181,157,78,142.0
N Rana,3078,2235,288,151,137.72
JJ Roy,614,443,75,21,138.6
RK Singh,1398,956,115,67,146.23
AD Russell,2655,1525,187,223,174.1
D Wiese,148,101,12,7,146.53
UT Yadav,208,201,16,9,103.48
CV Varun,31,53,3,0,58.49
GC Smith,739,668,94,9,110.63
NV Ojha,1554,1313,121,79,118.35
SA Asnodkar,423,339,56,10,124.78
YK Pathan,3222,2245,263,161,143.52
LA Carseldine,81,68,11,0,119.12
AS Raut,194,167,13,7,116.17
SK Warne,198,214,14,6,92.52
SM Harwood,9,14,0,0,64.29
M Vijay,2619,2149,247,91,121.87
ML Hayden,1107,806,121,44,137.34
SK Raina,5536,4046,506,204,136.83
S Badrinath,1441,1212,154,28,118.89
JDP Oram,106,108,6,5,98.15
RG Sharma,7331,5517,661,324,132.88
Q de Kock,3444,2553,334,143,134.9
SA Yadav,4581,3084,482,178,148.54
SS Tiwary,1494,1244,111,50,120.1
KA Pollard,3437,2329,221,224,147.57
HH Pandya,2964,2025,228,157,146.37
KH Pandya,1982,1481,173,76,133.83
NM Coulter-Nile,82,72,7,4,113.89
J Yadav,40,36,2,1,111.11
JJ Bumrah,75,86,6,1,87.21
PP Shaw,1892,1283,238,61,147.47
SPD Smith,2495,1945,226,60,128.28
RR Pant,3879,2644,351,181,146.71
SS Iyer,4233,3095,354,182,136.77
AR Patel,2089,1562,146,100,133.74
SO Hetmyer,1566,1049,99,96,149.29
R Ashwin,833,705,64,29,118.16
LMP Simmons,1079,852,109,44,126.64
PA Patel,2848,2358,365,49,120.78
AT Rayudu,4348,3409,359,173,127.54
Harbhajan Singh,833,604,79,42,137.91
J Suchith,70,61,6,3,114.75
DR Smith,2385,1764,245,117,135.2
F du Plessis,4773,3515,440,174,135.79
MEK Hussey,1977,1612,198,52,122.64
DJ Bravo,1560,1204,120,66,129.57
P Negi,365,289,27,16,126.3
MM Sharma,125,136,9,4,91.91
A Nehra,41,62,3,1,66.13
G Gambhir,4217,3404,492,59,123.88
V Sehwag,2728,1755,334,106,155.44
TM Dilshan,1153,1007,140,24,114.5
MF Maharoof,177,123,12,9,143.9
Shoaib Malik,52,47,5,0,110.64
SE Marsh,2489,1871,269,78,133.03
JR Hopes,417,306,49,11,136.27
Yuvraj Singh,2754,2122,218,149,129.78
