Venue ID,Venue Name,City
1,Arun Jaitley Stadium,Delhi
2,"Arun Jaitley Stadium, Delhi",Delhi
3,Barabati Stadium,Cuttack
4,"Barsapara Cricket Stadium, Guwahati",Guwahati
5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
6,Brabourne Stadium,Mumbai
7,"Brabourne Stadium, Mumbai",Mumbai
8,Buffalo Park,East London
9,De Beers Diamond Oval,Kimberley
10,Dr DY Patil Sports Academy,Mumbai
11,"Dr DY Patil Sports Academy, Mumbai",Mumbai
12,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
14,Dubai International Cricket Stadium,
15,Eden Gardens,Kolkata
16,"Eden Gardens, Kolkata",Kolkata
17,Feroz Shah Kotla,Delhi
18,Green Park,Kanpur
19,Himachal Pradesh Cricket Association Stadium,Dharamsala
20,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
21,Holkar Cricket Stadium,Indore
22,JSCA International Stadium Complex,Ranchi
23,Kingsmead,Durban
24,M Chinnaswamy Stadium,Bangalore
25,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
26,M.Chinnaswamy Stadium,Bengaluru
27,MA Chidambaram Stadium,Chennai
28,"MA Chidambaram Stadium, Chepauk",Chennai
29,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
30,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh
32,Maharashtra Cricket Association Stadium,Pune
33,"Maharashtra Cricket Association Stadium, Pune",Pune
34,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
35,Nehru Stadium,Kochi
36,New Wanderers Stadium,Johannesburg
37,Newlands,Cape Town
38,OUTsurance Oval,Bloemfontein
39,Punjab Cricket Association IS Bindra Stadium,Chandigarh
40,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
41,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh
42,"Punjab Cricket Association Stadium, Mohali",Chandigarh
43,Rajiv Gandhi International Stadium,Hyderabad
44,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
45,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
46,"Sardar Patel Stadium, Motera",Ahmedabad
47,Saurashtra Cricket Association Stadium,Rajkot
48,Sawai Mansingh Stadium,Jaipur
49,"Sawai Mansingh Stadium, Jaipur",Jaipur
50,Shaheed Veer Narayan Singh International Stadium,Raipur
51,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur
52,Sharjah Cricket Stadium,Sharjah
53,Sheikh Zayed Stadium,Abu Dhabi
54,St George's Park,Port Elizabeth
55,Subrata Roy Sahara Stadium,Pune
56,SuperSport Park,Centurion
57,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
58,Wankhede Stadium,Mumbai
59,"Wankhede Stadium, Mumbai",Mumbai
60,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
