Match ID,Innings Number,Batting Team,Over,Ball Number,Batter Out,Bowler,Fielder,Kind of Wicket
1426261,1,Sunrisers Hyderabad,3,2,TM Head,Arshdeep Singh,S Dhawan,caught
1426261,1,Sunrisers Hyderabad,3,4,AK Markram,Arshdeep Singh,JM Sharma,caught
1426261,1,Sunrisers Hyderabad,4,6,Abhishek Sharma,SM Curran,Shashank Singh,caught
1426261,1,Sunrisers Hyderabad,9,4,RA Tripathi,HV Patel,JM Sharma,caught
1426261,1,Sunrisers Hyderabad,13,1,H Klaasen,HV Patel,SM Curran,caught
1426261,1,Sunrisers Hyderabad,16,3,Abdul Samad,Arshdeep Singh,HV Patel,caught
1426261,1,Sunrisers Hyderabad,16,5,Nithish Kumar Reddy,Arshdeep Singh,K Rabada,caught
1426261,1,Sunrisers Hyderabad,17,3,PJ Cummins,K Rabada,,bowled
1426261,1,Sunrisers Hyderabad,19,5,B Kumar,SM Curran,JM Bairstow,caught
1426261,2,Punjab Kings,1,4,JM Bairstow,PJ Cummins,,bowled
1426261,2,Punjab Kings,2,6,P Simran Singh,B Kumar,Nithish Kumar Reddy,caught
1426261,2,Punjab Kings,4,4,S Dhawan,B Kumar,H Klaasen,stumped
1426261,2,Punjab Kings,9,1,SM Curran,T Natarajan,PJ Cummins,caught
1426261,2,Punjab Kings,13,1,Sikandar Raza,JD Unadkat,H Klaasen,caught
1426261,2,Punjab Kings,15,3,JM Sharma,Nithish Kumar Reddy,Abhishek Sharma,caught
1359507,1,Chennai Super Kings,7,3,RD Gaikwad,Suyash Sharma,,bowled
1359507,1,Chennai Super Kings,12,1,DP Conway,CV Varun,D Wiese,caught
1359507,1,Chennai Super Kings,17,3,S Dube,K Khejroliya,JJ Roy,caught
1359507,1,Chennai Super Kings,19,4,RA Jadeja,K Khejroliya,RK Singh,caught
1359507,2,Kolkata Knight Riders,0,4,SP Narine,Akash Singh,,bowled
1359507,2,Kolkata Knight Riders,1,2,N Jagadeesan,TU Deshpande,RA Jadeja,caught
1359507,2,Kolkata Knight Riders,7,1,VR Iyer,MM Ali,,lbw
1359507,2,Kolkata Knight Riders,8,2,N Rana,RA Jadeja,RD Gaikwad,caught
1359507,2,Kolkata Knight Riders,14,3,JJ Roy,M Theekshana,,bowled
1359507,2,Kolkata Knight Riders,16,4,AD Russell,M Pathirana,S Dube,caught
1359507,2,Kolkata Knight Riders,17,3,D Wiese,TU Deshpande,,lbw
1359507,2,Kolkata Knight Riders,18,3,UT Yadav,M Theekshana,DP Conway,caught
392217,1,Rajasthan Royals,0,3,NV Ojha,JA Morkel,,bowled
392217,1,Rajasthan Royals,8,5,SA Asnodkar,M Muralitharan,,lbw
392217,1,Rajasthan Royals,12,2,GC Smith,M Muralitharan,MS Dhoni,stumped
392217,1,Rajasthan Royals,14,1,RA Jadeja,L Balaji,SK Raina,caught
392217,1,Rajasthan Royals,15,5,YK Pathan,SB Jakati,JDP Oram,caught
392217,1,Rajasthan Royals,16,4,LA Carseldine,SK Raina,L Balaji,run out
392217,1,Rajasthan Royals,17,2,AS Raut,SB Jakati,MS Dhoni,stumped
392217,2,Chennai Super Kings,2,6,M Vijay,SK Trivedi,,lbw
392217,2,Chennai Super Kings,5,6,SK Raina,A Singh,LA Carseldine,caught
392217,2,Chennai Super Kings,16,6,ML Hayden,SK Warne,NV Ojha,stumped
1254112,1,Mumbai Indians,1,5,RG Sharma,Avesh Khan,K Rabada,caught
1254112,1,Mumbai Indians,6,2,Q de Kock,AR Patel,A Nortje,caught
1254112,1,Mumbai Indians,10,3,SA Yadav,AR Patel,K Rabada,caught
1254112,1,Mumbai Indians,12,5,SS Tiwary,AR Patel,RR Pant,caught
1254112,1,Mumbai Indians,14,1,KA Pollard,A Nortje,,bowled
1254112,1,Mumbai Indians,18,1,HH Pandya,Avesh Khan,,bowled
1254112,1,Mumbai Indians,18,4,NM Coulter-Nile,Avesh Khan,,bowled
1254112,1,Mumbai Indians,19,2,J Yadav,R Ashwin,SPD Smith,caught
1254112,2,Delhi Capitals,1,6,S Dhawan,J Yadav,KA Pollard,run out
1254112,2,Delhi Capitals,2,4,PP Shaw,KH Pandya,,lbw
1254112,2,Delhi Capitals,4,1,SPD Smith,NM Coulter-Nile,,bowled
1254112,2,Delhi Capitals,8,2,RR Pant,J Yadav,HH Pandya,caught
1254112,2,Delhi Capitals,11,4,AR Patel,TA Boult,,lbw
1254112,2,Delhi Capitals,13,1,SO Hetmyer,JJ Bumrah,RG Sharma,caught
829817,1,Mumbai Indians,10,4,PA Patel,DJ Bravo,RA Jadeja,caught
829817,1,Mumbai Indians,13,4,LMP Simmons,RA Jadeja,P Negi,caught
829817,1,Mumbai Indians,15,4,RG Sharma,DJ Bravo,RA Jadeja,caught
829817,1,Mumbai Indians,16,1,HH Pandya,A Nehra,RA Jadeja,caught
829817,1,Mumbai Indians,18,5,AT Rayudu,MM Sharma,SK Raina,caught
829817,1,Mumbai Indians,19,4,KA Pollard,DJ Bravo,SK Raina,caught
829817,2,Chennai Super Kings,0,4,DR Smith,SL Malinga,,lbw
829817,2,Chennai Super Kings,5,1,MEK Hussey,R Vinay Kumar,PA Patel,caught
829817,2,Chennai Super Kings,10,2,SK Raina,Harbhajan Singh,,caught and bowled
829817,2,Chennai Super Kings,10,3,MS Dhoni,Harbhajan Singh,,lbw
829817,2,Chennai Super Kings,13,5,F du Plessis,J Suchith,R Vinay Kumar,caught
829817,2,Chennai Super Kings,14,5,DJ Bravo,KA Pollard,"MJ McClenaghan, PA Patel",run out
829817,2,Chennai Super Kings,15,3,P Negi,R Vinay Kumar,UBT Chand,caught
829817,2,Chennai Super Kings,17,2,RA Jadeja,MJ McClenaghan,J Suchith,caught
829817,2,Chennai Super Kings,18,4,R Ashwin,SL Malinga,AT Rayudu,caught
829817,2,Chennai Super Kings,18,6,A Nehra,SL Malinga,LMP Simmons,caught
336022,1,Delhi Daredevils,6,6,G Gambhir,RR Powar,,bowled
336022,1,Delhi Daredevils,8,6,S Dhawan,RR Powar,PP Chawla,caught
336022,1,Delhi Daredevils,10,2,TM Dilshan,JR Hopes,LA Pomersbach,caught
336022,1,Delhi Daredevils,10,4,MF Maharoof,JR Hopes,RR Powar,caught
336022,2,Kings XI Punjab,1,1,SE Marsh,PJ Sangwan,S Dhawan,caught
336022,2,Kings XI Punjab,2,6,Yuvraj Singh,GD McGrath,MF Maharoof,caught
336022,2,Kings XI Punjab,3,3,JR Hopes,A Mishra,Shoaib Malik,caught
501258,1,Rajasthan Royals,2,6,FY Fazal,RP Singh,,lbw
501258,1,Rajasthan Royals,3,1,R Dravid,S Sreesanth,OA Shah,caught
501258,1,Rajasthan Royals,5,2,AM Rahane,S Sreesanth,,lbw
501258,1,Rajasthan Royals,8,5,SR Watson,P Parameswaran,,bowled
501258,1,Rajasthan Royals,9,4,PR Shah,BJ Hodge,Y Gnaneswara Rao,caught
501258,1,Rajasthan Royals,11,2,JDP Oram,BJ Hodge,,bowled
501258,1,Rajasthan Royals,13,1,SK Warne,BJ Hodge,,bowled
501258,1,Rajasthan Royals,13,5,AA Chavan,BJ Hodge,"RA Jadeja, BJ Hodge",run out
501258,1,Rajasthan Royals,15,2,AL Menaria,BJ Hodge,OA Shah,caught
501258,1,Rajasthan Royals,18,3,ND Doshi,P Parameswaran,DPMD Jayawardene,caught
501258,2,Kochi Tuskers Kerala,1,3,DPMD Jayawardene,JDP Oram,AA Chavan,caught
